date,item,doc_number,document,title,synopsis,type,action,theme,area,minutes,url,Vega Pederson,Moyer,Singleton,Brim-Edwards,Jones-Dixon,Meieran,Kafoury,Smith,Jayapal,Beason,Rosenbaum,Stegmann
2024-06-06,R.1,2024-041,https://www.multco.us/file/resolution_adopting_the_fiscal_year_2025_budget_for_multnomah_county_and_making_appropriations_thereunder%2C_pursuant_to_ors_294.456./download,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2025 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.","Adopts Multnomah County's fiscal year 2025 budget and makes its appropriations, after a public hearing and roll calls on Board amendments, many of which failed 2–3 with Commissioners Meieran and Brim-Edwards voting yes. Commissioner Meieran voted no on adoption.",Resolution,Adopted as amended,FY Budget,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-06,R.2,2024-042,https://www.multco.us/file/resolution_levying_ad_valorem_property_taxes_for_multnomah_county%2C_oregon_for_fiscal_year_2025./download,"Resolution Levying Ad Valorem Property Taxes for Multnomah County, Oregon, for Fiscal Year 2025.",Levies Multnomah County's property taxes for fiscal year 2025.,Resolution,Adopted,FY Budget; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-06,R.6,2024-046,https://www.multco.us/file/resolution_authorizing_salary_adjustments_for_employees_not_covered_by_collective_bargaining_agreements_for_fiscal_year_2024-2025./download,Authorizing Salary Adjustments for Employees Not Covered by Collective Bargaining Agreements for Fiscal Year 2024-2025.,Authorizes fiscal year 2024–2025 salary adjustments for County employees not covered by collective bargaining agreements.,Resolution,Adopted,Labor & Workforce; FY Budget,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-06,R.7,,,"Approving the Fee Schedule for Multnomah County, Oregon, for Fiscal Year 2025.",Approves the County's fee schedule for fiscal year 2025.,Resolution,Approved,FY Budget; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-06,R.8,2024-047,https://www.multco.us/file/resolution_adopting_the_fiscal_year_2025_budget_for_the_multnomah_county_library_district_and_making_appropriations_thereunder%2C_pursuant_to_ors_294.456./download,"RESOLUTION Adopting the Fiscal Year 2025 Budget for the Multnomah County Library District and Making Appropriations Thereunder, Pursuant to ORS 294.456.","Adopts the Multnomah County Library District's fiscal year 2025 budget and makes its appropriations, with the commissioners sitting as the district's governing body.",Resolution,Adopted,FY Budget; Libraries,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-06,R.9,2024-048,https://www.multco.us/file/resolution_levying_ad_valorem_property_taxes_for_the_multnomah_county_library_district%2C_oregon%2C_for_fiscal_year_2025./download,"RESOLUTION Levying Ad Valorem Property Taxes for the Multnomah County Library District, Oregon, for Fiscal Year 2025.",Levies the Multnomah County Library District's property taxes for fiscal year 2025.,Resolution,Adopted,FY Budget; Libraries; Budget & Taxes,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2969&doc_id=ee6c9ed7-b98b-11ef-ab4b-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2969,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-13,R.2,,,Approval of the Homelessness Response System Intergovernmental Agreement with the City of Portland and the Homelessness Response Action Plan.,"Approves the Homelessness Response System intergovernmental agreement with the City of Portland and the Homelessness Response Action Plan, 4–1 with Commissioner Meieran voting no. Several amendments were voted on first, but the captioned minutes don't record those roll calls clearly enough to log. (The minutes list Chair Vega Pederson as excused at the start; the transcript shows her chairing and voting on this item.)",Intergovernmental agreement,Approved,Homelessness,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2974&doc_id=81b91df3-0b2f-11f0-ab6a-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2974,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-06-20,R.6,,,"BUDGET MODIFICATION # NOND-010-24: Contingency Request of $400,000 for a Three-Year Pilot Enhanced Services District in the Gateway Neighborhood.","Approves $400,000 from contingency for a three-year pilot enhanced services district in the Gateway neighborhood. The minutes name only Commissioner Brim-Edwards's no vote; the other commissioners present are recorded as Yea.",Budget modification,Approved,Economic Development; Public Safety,Gateway (Portland),https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2976&doc_id=befd7687-3e0d-11ef-8c72-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2976,Yea,Not in office,Not in office,Nay,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Absent
2024-06-27,R.2,,,Public Contract Review Board (PCRB) Rules Revision.,"Revisions to the Public Contract Review Board rules, with the Board sitting as the contract review board. The resolution failed: the minutes list Meieran voting no and Stegmann and Vega Pederson aye; Commissioner Beason isn't listed and is recorded as absent, and Commissioner Brim-Edwards was excused.",Resolution,Failed,Government Operations,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2979&doc_id=9f7d2b58-f478-11ef-ab6a-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2979,Yea,Not in office,Not in office,Absent,Not in office,Nay,Not in office,Not in office,Not in office,Absent,Not in office,Yea
2024-07-11,R.2,,,Approval of the amended Homelessness Response System Intergovernmental Agreement with the City of Portland and the Homelessness Response Action Plan.,Approves the amended Homelessness Response System intergovernmental agreement with the City of Portland and the Homelessness Response Action Plan. Commissioner Meieran voted no.,Intergovernmental agreement,Approved,Homelessness,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2984&doc_id=3e4d7101-5945-11ef-bafe-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2984,Yea,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-07-25,R.2,2024-060,https://www.multco.us/file/resolution_adopting_revised_multnomah_county_public_contract_review_board_rules_effective_july_1%2C_2024.-0/download,Public Contract Review Board (PCRB) Rules Revision.,Adopts revised rules for the County's Public Contract Review Board (the Board sitting as the contract review board).,Resolution,Adopted,Government Operations,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2994&doc_id=5f63b916-662f-11ef-9b71-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2994,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-07-25,R.4,2024-061,https://www.multco.us/file/resolution_approving_the_fac-1_project_plan_for_construction_of_the_southeast_sandy_building_temporary_deflection_center./download,Resolution Approving the FAC-1 Project Plan for Construction of the Southeast Sandy Building Temporary Deflection Center.,"Approves the construction project plan for a temporary deflection center in the Southeast Sandy building under the County's FAC-1 procedure, after an amendment passed unanimously. Commissioners Meieran and Brim-Edwards voted no.",Resolution,Adopted as amended,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2994&doc_id=5f63b916-662f-11ef-9b71-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2994,Yea,Not in office,Not in office,Nay,Not in office,Nay,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-07-25,R.5,,,Resolution Urging Multnomah County Chair to Exercise Her Authority to Temporarily Change Ambulance Staffing Protocol.,"Resolution urging the Chair to use her authority to temporarily change the ambulance staffing protocol. It failed 1–3, with only Commissioner Brim-Edwards voting yes; the minutes' roll call doesn't list Commissioner Stegmann, who is recorded as absent.",Resolution,Failed,Health & Social Services; Public Safety,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2994&doc_id=5f63b916-662f-11ef-9b71-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2994,Nay,Not in office,Not in office,Yea,Not in office,Nay,Not in office,Not in office,Not in office,Nay,Not in office,Absent
2024-08-01,R.3,2024-063,https://www.multco.us/file/homelessness_response_system_progress_resolution./download,Resolution Adopting Homelessness Response System Accountability and Progress Measures.,"Adopts accountability and progress measures for the Homelessness Response System, as amended. Only three commissioners voted: the minutes' roll calls on the amendment and the resolution list Brim-Edwards, Stegmann and Vega Pederson, and the Chair thanks 'both' of the others present, so Meieran and Beason are recorded as absent.",Resolution,Adopted as amended,Homelessness,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=2998&doc_id=57d9c7d2-5c11-11ef-bafe-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=2998,Yea,Not in office,Not in office,Yea,Not in office,Absent,Not in office,Not in office,Not in office,Absent,Not in office,Yea
2024-08-15,R.3,2024-068,https://www.multco.us/file/resolution_approving_the_library_capital_bond_program_%28lcbp%29_northwest_library_project_plan_to_proceed_with_construction_per_administrative_procedure_fac-1_and_authorizing_the_county_chair_to_execute_a_guaranteed_maximum_price_%28gmp%29%E2%80%A6/download,Resolution Approving the Library Capital Bond Program (LCBP) Northwest Library Project Plan to Proceed with Construction per Administrative Procedure FAC-1 and Authorizing the County Chair to Execute a Guaranteed Maximum Price (GMP) Amendment.,Approves the Library Capital Bond Program's Northwest Library project plan to proceed with construction and authorizes the Chair to sign a guaranteed maximum price amendment.,Resolution,Adopted,Libraries,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=3003&doc_id=ab122529-0413-11f0-ab6a-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3003,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Yea
2024-08-22,R.2,1325,https://www.multco.us/file/ordinance_amending_multnomah_county%E2%80%99s_comprehensive_plan%2C_zoning_map%2C_and_zoning_code%2C_to_incorporate_amendments_to_the_city_of_portland%E2%80%99s_comprehensive_plan%2C_comprehensive_plan_map%2C_zoning_map%2C_and_zoning_code_%28title_33%29_to_adopt_the%E2%80%A6/download,"Amending Multnomah County’s Comprehensive Plan, Zoning Map, and Zoning Code, to Incorporate Amendments to the City of Portland’s Comprehensive Plan, Comprehensive Plan Map, Zoning Map, and Zoning Code (Title 33) to Adopt the Lower Southeast Rising Area Plan Amendments; to Adopt the Regulatory Improvement Code Amendment Package 10; and Amending the County’s Zoning Code to Incorporate Amendments to the City of Portland’s Title 33 to Update Land Division Regulations and Related Code Provisions and Declaring an Emergency.","Adds City of Portland planning code changes to the County's comprehensive plan, zoning map and zoning code (the agenda title is cut off in the minutes).",Ordinance,Adopted,Land Use & Planning,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=3007&doc_id=75bc08db-6afc-11ef-9b71-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3007,Yea,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Yea,Not in office,Absent
2024-08-22,R.4,,,Resolution Urging the Chair to Pause Opening of Multnomah County Deflection Center.,"Resolution urging the Chair to pause the opening of the County's deflection center. After three amendment votes, it failed 2–2: Commissioners Meieran and Brim-Edwards voted yes, Commissioner Beason and Chair Vega Pederson no, and Commissioner Stegmann was excused.",Resolution,Failed,Public Safety; Health & Social Services,Countywide,https://multnomah.granicus.com/MinutesViewer.php?view_id=3&clip_id=3007&doc_id=75bc08db-6afc-11ef-9b71-005056a89546,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3007,Nay,Not in office,Not in office,Yea,Not in office,Yea,Not in office,Not in office,Not in office,Nay,Not in office,Absent
