date,clip,meeting,minutes_doc,status,items_logged,notes
2017-06-01,1572,Regular Board Meeting,53f17e1f-6c45-11e7-b9a7-00219ba2f017,pending,,
2017-06-08,1574,Regular Board Meeting,813efb90-5613-11e7-b9a7-00219ba2f017,pending,,
2017-06-15,1575,Regular Board Meeting,e3c96d6e-61ce-11e7-b9a7-00219ba2f017,pending,,
2017-06-22,1577,Regular Board Meeting,eaa91f30-5d00-11e7-b9a7-00219ba2f017,pending,,
2017-06-29,1579,Regular Board Meeting,14f3eeb7-c01d-11e8-a2a6-0050569183fa,pending,,
2017-07-13,1585,Regular Board Meeting,6395a98f-6a8c-11e7-b9a7-00219ba2f017,pending,,
2017-07-20,1594,Regular Board Meeting,2dacdcb1-c0ef-11e8-a2a6-0050569183fa,pending,,
2017-07-27,1597,Regular Board Meeting,4b770d77-7712-11e7-b9a7-00219ba2f017,pending,,
2017-08-03,1599,Regular Board Meeting,b9fa5018-7edd-11e7-b9a7-00219ba2f017,pending,,
2017-08-31,1605,Regular Board Meeting,25bce9d9-8f5c-11e7-8661-00505691bffa,pending,,
2017-09-07,1609,Regular Board Meeting,32823d4d-c119-11e8-a2a6-0050569183fa,pending,,
2017-09-13,1615,Joint Meeting - HD 38 Appointment,31fdb0af-a318-11e7-b89c-00505691de41,pending,,
2017-09-14,1612,Regular Board Meeting,f84c22a6-c114-11e8-a2a6-0050569183fa,pending,,
2017-09-28,1618,Regular Board Meeting,f7d31213-a568-11e7-b89c-00505691de41,pending,,
2017-10-05,1621,Regular Board Meeting,8c64637f-aa1e-11e7-b89c-00505691de41,pending,,
2017-10-19,1628,Regular Board Meeting,3d2ec77d-bb69-11e7-9d6f-00505691de41,pending,,
2017-10-26,1629,Regular Board Meeting,1850c1be-b06a-11e8-a2a6-0050569183fa,pending,,
2017-11-02,1631,Regular Board Meeting,2e9405a1-ca5b-11e7-95a0-00505691de41,pending,,
2017-11-09,1633,Regular Board Meeting,17515d2b-b6da-11e8-a2a6-0050569183fa,pending,,
2017-11-16,1636,Regular Board Meeting,96d48032-cbe0-11e7-95a0-00505691de41,pending,,
2017-11-29,1644,Joint Meeting - HD 52 Appointment,673770d7-f729-11e7-8dcb-00505691de41,pending,,
2017-11-30,1640,Regular Board Meeting,b3e7ce4e-b860-11e8-a2a6-0050569183fa,pending,,
2017-12-07,1649,Regular Board Meeting,cf2a3a59-f70d-11e7-8dcb-00505691de41,pending,,
2017-12-14,1651,Regular Board Meeting,37634997-f62b-11e7-8dcb-00505691de41,pending,,
2017-12-21,1652,Regular Board Meeting,75565387-f58f-11e7-8dcb-00505691de41,pending,,
2018-01-04,1657,Regular Board Meeting,ce6d908a-c5c5-11e8-a2a6-0050569183fa,pending,,
2018-01-11,1662,Regular Board Meeting,713916a3-f7ea-11e7-8dcb-00505691de41,pending,,
2018-01-18,1664,Regular Board Meeting,ddb0ab71-6f31-11e8-a2fd-00505691de41,pending,,
2018-01-25,1665,Regular Board Meeting,92c0713b-06c1-11e8-8dcb-00505691de41,pending,,
2018-01-29,1672,Joint Meeting - SD 19 Appointment,1e2f0f96-289b-11e8-8a08-00505691de41,pending,,
2018-02-01,1669,Regular Board Meeting,1d12c46e-7022-11e8-a2fd-00505691de41,pending,,
2018-02-08,1671,Regular Board Meeting,82c2668e-b065-11e8-a2a6-0050569183fa,pending,,
2018-02-15,1675,Regular Board Meeting,09c39835-c730-11e8-a2a6-0050569183fa,pending,,
2018-03-01,1686,Regular Board Meeting,f25c432d-23ec-11e8-b7a5-00505691de41,pending,,
2018-03-08,1687,Regular Board Meeting,68ff5930-8b9f-11e8-a691-00505691de41,pending,,Granicus's minutes link for this meeting serves the agenda; minutes not found yet.
2018-03-15,1691,Regular Board Meeting,c789fe4f-2c88-11e8-8a08-00505691de41,pending,,
2018-03-22,1696,Regular Board Meeting,04306b4d-3218-11e8-9a96-00505691de41,pending,,
2018-04-05,1698,Regular Board Meeting,b793b3a8-7351-11e8-a691-00505691de41,pending,,
2018-04-12,1700,Regular Board Meeting,1bea2729-7346-11e8-a691-00505691de41,pending,,
2018-04-19,1702,Regular Board Meeting,216fc122-733b-11e8-a691-00505691de41,pending,,
2018-04-26,1704,Regular Board Meeting,a922b103-6e87-11e8-9e05-00505691de41,pending,,
2018-05-02,1712,Public Hearing A - IRCO,c2918a59-c2a0-11e8-a2a6-0050569183fa,pending,,
2018-05-03,1709,Regular Board Meeting,49ff7eaa-6e79-11e8-9e05-00505691de41,pending,,
2018-05-09,1715,Public Hearing B - Multco Bldg,71420408-8939-11e8-a691-00505691de41,pending,,
2018-05-10,1716,Regular Board Meeting,03ad76e9-7334-11e8-a691-00505691de41,pending,,
2018-05-16,1789,Public Hearing C - East County,e5180ab4-96a4-11e8-85d7-00505691de41,pending,,
2018-05-17,1723,Regular Board Meeting,0fa5bb8f-6e7b-11e8-9e05-00505691de41,pending,,
2018-05-24,1731,Regular Board Meeting,ee21dc2a-68eb-11e8-8074-00505691de41,pending,,
2018-05-31,1776,Regular Board Meeting,c1febcbb-68e8-11e8-8074-00505691de41,pending,,
2018-06-07,1781,Regular Board Meeting,98faac4a-6b59-11e8-9329-00505691de41,pending,,
2018-06-14,1786,Regular Board Meeting,c890ddc4-732e-11e8-a691-00505691de41,pending,,
2018-06-21,1790,Regular Board Meeting,159cc5e9-7995-11e8-a691-00505691de41,pending,,
2018-06-28,1795,Regular Board Meeting,eba8200b-8933-11e8-a691-00505691de41,pending,,
2018-07-12,1796,Regular Board Meeting,2d3ec3a6-b058-11e8-a2a6-0050569183fa,pending,,
2018-07-19,1799,Regular Board Meeting,0d053bc8-b058-11e8-a2a6-0050569183fa,pending,,
2018-07-26,1800,Regular Board Meeting,f7e5a80f-9c2a-11e8-aa59-00505691de41,pending,,
2018-08-16,1802,Regular Board Meeting,f6381ba3-ac97-11e8-b023-00505691de41,pending,,
2018-08-23,1804,Regular Board Meeting,801ab70f-abb4-11e8-acb0-00505691de41,pending,,
2018-08-30,1805,Regular Board Meeting,463e633a-c28a-11e8-a2a6-0050569183fa,pending,,
2018-09-06,1808,Regular Board Meeting,78f5b40f-b612-11e8-a2a6-0050569183fa,pending,,
2018-09-11,1809,County/City Joint Meeting - JOHS,927196a8-e204-11e8-9302-0050569183fa,pending,,
2018-09-13,1811,Regular Board Meeting,678e4e8d-c28a-11e8-a2a6-0050569183fa,pending,,
2018-09-20,1814,Regular Board Meeting,1475424f-c28a-11e8-a2a6-0050569183fa,pending,,
2018-09-27,1816,Regular Board Meeting,7f6d6fdc-c290-11e8-a2a6-0050569183fa,pending,,
2018-10-04,1817,Regular Board Meeting,8aa2144b-cb26-11e8-a2a6-0050569183fa,pending,,
2018-10-11,1820,Regular Board Meeting,d31cd7be-cda2-11e8-a2a6-0050569183fa,pending,,
2018-10-25,1821,Regular Board Meeting,032c90a9-d947-11e8-9302-0050569183fa,pending,,
2018-11-01,1823,Regular Board Meeting,97729c88-decc-11e8-9302-0050569183fa,pending,,
2018-11-08,1825,Regular Board Meeting,e0d12c5f-e79e-11e8-9302-0050569183fa,pending,,
2018-11-15,1827,Regular Board Meeting,d028ba23-ec47-11e8-9afa-0050569183fa,pending,,
2018-11-29,1832,Regular Board Meeting,2538eff2-07ca-11e9-b021-0050569183fa,pending,,
2018-12-13,1836,Regular Board Meeting,76c261c8-053f-11e9-b021-0050569183fa,pending,,
2018-12-20,1837,Regular Board Meeting,0ff0ae0a-07a8-11e9-b021-0050569183fa,pending,,
2019-01-03,1839,Regular Board Meeting,72fc21ba-1070-11e9-b021-0050569183fa,pending,,
2019-01-17,1841,Regular Board Meeting,10d5606d-1f34-11e9-b021-0050569183fa,pending,,
2019-01-24,1843,Regular Board Meeting,4b2a5776-2022-11e9-b021-0050569183fa,pending,,
2019-01-31,1846,Regular Board Meeting,6fac21f9-298f-11e9-b021-0050569183fa,pending,,
2019-02-07,1848,Regular Board Meeting,340625c9-2fc7-11e9-b021-0050569183fa,pending,,
2019-02-28,1853,Regular Board Meeting,dc5b15da-3b9b-11e9-b021-0050569183fa,pending,,
2019-03-07,1854,Regular Board Meeting,8d788834-469b-11e9-aee3-0050569183fa,pending,,
2019-03-14,1857,Regular Board Meeting,af36a26b-469c-11e9-aee3-0050569183fa,pending,,
2019-03-21,1860,Regular Board Meeting,f0771def-571e-11e9-aee3-0050569183fa,pending,,
2019-03-28,1862,Regular Board Meeting,55a4c2fc-519e-11e9-aee3-0050569183fa,pending,,
2019-04-04,1864,Regular Board Meeting,1558ea47-5b15-11e9-aee3-0050569183fa,pending,,
2019-04-11,1866,Regular Board Meeting,f0fb080c-5d41-11e9-aee3-0050569183fa,pending,,
2019-04-18,1869,Regular Board Meeting,037dc3c0-66ad-11e9-a164-0050569183fa,pending,,
2019-04-25,1871,Regular Board Meeting,83344428-67a9-11e9-a164-0050569183fa,pending,,
2019-04-29,1879,Public Hearing #1 - IRCO,6b1f1373-b7c2-11e9-b703-0050569183fa,pending,,
2019-05-02,1876,Regular Board Meeting,821d85e5-7116-11e9-a164-0050569183fa,pending,,
2019-05-08,1883,Public Hearing #2 - Multco Bldg,4b2577cd-8323-11e9-848a-0050569183fa,pending,,
2019-05-09,1884,Regular Board Meeting,74f0326b-7c18-11e9-a084-0050569183fa,pending,,
2019-05-14,1892,Public Hearing C - East County,d17fc70b-bf89-11e9-b703-0050569183fa,pending,,
2019-05-16,1887,Regular Board Meeting,2abcdead-7e61-11e9-a084-0050569183fa,pending,,
2019-05-22,1894,Public Hearing #4 - Roosevelt HS,afb97bae-a734-11e9-b703-0050569183fa,pending,,
2019-05-23,1895,Regular Board Meeting,91983827-8181-11e9-848a-0050569183fa,pending,,
2019-05-30,1898,Regular Board Meeting,b0f996d6-8bad-11e9-848a-0050569183fa,pending,,
2019-06-06,1900,Regular Board Meeting,ee87fd1b-8d63-11e9-848a-0050569183fa,pending,,
2019-06-13,1901,Regular Board Meeting,05e1e720-92c5-11e9-b00b-0050569183fa,pending,,
2019-06-20,1904,Regular Board Meeting,d1ae5904-9760-11e9-b00b-0050569183fa,pending,,
2019-06-27,1905,Regular Board Meeting,cce6378f-9f57-11e9-b00b-0050569183fa,pending,,
2019-07-11,1906,Regular Board Meeting,cdcf1fbe-aa4f-11e9-b703-0050569183fa,pending,,
2019-07-18,1911,Regular Board Meeting,bdbb0a73-ad8e-11e9-b703-0050569183fa,pending,,
2019-07-25,1913,Regular Board Meeting,b5e344d4-b49b-11e9-b703-0050569183fa,pending,,
2019-08-08,1915,Regular Board Meeting,4f9304d6-bebc-11e9-b703-0050569183fa,pending,,
2019-08-29,1917,Regular Board Meeting,769e564f-e6e4-11e9-9542-0050569183fa,pending,,
2019-09-12,1919,Regular Board Meeting,36e36f68-d8ca-11e9-9542-0050569183fa,pending,,
2019-09-19,1921,Regular Board Meeting,2ed41e24-dfd5-11e9-9542-0050569183fa,pending,,
2019-09-26,1923,Regular Board Meeting,e3d9ebc1-e0a2-11e9-9542-0050569183fa,pending,,
2019-10-03,1924,Regular Board Meeting,04dc407b-ea18-11e9-9542-0050569183fa,pending,,
2019-10-10,1925,Regular Board Meeting,94ca4e88-efa4-11e9-9542-0050569183fa,pending,,
2019-10-17,1929,Regular Board Meeting,d1592108-f1fd-11e9-9542-0050569183fa,pending,,
2019-10-24,1932,Regular Board Meeting,28340936-f6a4-11e9-9542-0050569183fa,pending,,
2019-10-31,1934,Regular Board Meeting,608ccc32-01a7-11ea-9542-0050569183fa,pending,,
2019-11-07,1936,Regular Board Meeting,764478ab-07f5-11ea-8baa-0050569183fa,pending,,
2019-11-12,1938,Joint Meeting - JOHS,3974d027-0d6b-11ea-8baa-0050569183fa,pending,,
2019-11-14,1939,Regular Board Meeting,61b29f17-07f7-11ea-8baa-0050569183fa,pending,,
2019-12-05,1941,Regular Board Meeting,d3c165d5-1ac8-11ea-a240-0050569183fa,pending,,
2019-12-05,1942,Public Hearing - East County,a5b62745-4df0-11ea-9ca4-0050569183fa,pending,,
2019-12-12,1948,Regular Board Meeting,c61a4197-2055-11ea-a240-0050569183fa,pending,,
2019-12-19,1949,Regular Board Meeting,158b367b-28ec-11ea-a240-0050569183fa,pending,,
2020-01-09,1951,Regular Board Meeting,e1cd8dbc-371e-11ea-a240-0050569183fa,done,2,
2020-01-16,1953,Board Meeting - HD 36 Appointment,466cb2bc-4c60-11ea-9ca4-0050569183fa,done,1,
2020-01-23,1956,Regular Board Meeting,b25ae96c-4215-11ea-9ca4-0050569183fa,done,1,
2020-01-30,1958,Regular Board Meeting,bdab3825-46d1-11ea-9ca4-0050569183fa,done,0,
2020-02-06,1959,Regular Board Meeting,535da98d-4dc5-11ea-9ca4-0050569183fa,done,1,
2020-02-13,1960,Regular Board Meeting,004c3c04-5280-11ea-9ca4-0050569183fa,done,0,
2020-02-20,1961,Regular Board Meeting,21dea4d7-54d4-11ea-9ca4-0050569183fa,done,1,
2020-02-27,1964,Regular Board Meeting,3df324c6-5a70-11ea-9ca4-0050569183fa,done,1,
2020-03-05,1966,Regular Board Meeting,26301067-6253-11ea-99b9-0050569183fa,done,1,
2020-03-12,1968,Regular Board Meeting,36ac4ab7-6942-11ea-99b9-0050569183fa,done,0,
2020-03-19,1972,Regular Board Meeting,0e55a383-6ae1-11ea-99b9-0050569183fa,done,2,
2020-04-02,1976,Regular Board Meeting,2f8e9926-7db7-11ea-99b9-0050569183fa,done,2,
2020-04-09,1984,Regular Board Meeting,d2d78a9d-7db2-11ea-99b9-0050569183fa,done,1,
2020-04-16,1992,Regular Board Meeting,52a4ead2-8409-11ea-99b9-0050569183fa,done,1,
2020-04-30,2000,Regular Board Meeting,60051460-8e3c-11ea-a2af-0050569183fa,done,0,
2020-05-07,2005,Regular Board Meeting,2679aaf0-93b0-11ea-a2af-0050569183fa,done,2,
2020-05-14,2012,Regular Board Meeting,c9a344c6-9b1c-11ea-a2af-0050569183fa,done,0,
2020-05-20,2022,Virtual Public Budget Hearing #1,775f1852-a5d2-11ea-9e08-0050569183fa,done,0,
2020-05-21,2025,Regular Board Meeting,8bcfbbf0-a1dc-11ea-9e08-0050569183fa,done,0,
2020-05-27,2038,Virtual Public Budget Hearing #2,8948a6ed-b537-11ea-888f-0050569183fa,done,0,
2020-05-28,2043,Regular Board Meeting,91a57901-b646-11ea-888f-0050569183fa,done,1,
2020-06-04,2054,Regular Board Meeting,57389548-baf3-11ea-93cb-0050569183fa,done,2,
2020-06-11,2062,Regular Board Meeting,5bdc992b-bc37-11ea-93cb-0050569183fa,done,0,
2020-06-18,2071,Regular Board Meeting,762127f1-c72e-11ea-93cb-0050569183fa,done,0,
2020-06-23,2082,Budget Adoption,0f648711-c735-11ea-93cb-0050569183fa,done,5,
2020-06-25,2087,Regular Board Meeting,ae42a8d7-cab7-11ea-93cb-0050569183fa,done,1,
2020-07-02,2089,Regular Board Meeting,8b8618fa-cacf-11ea-93cb-0050569183fa,done,3,
2020-07-09,2092,Special Meeting,153945f1-cbd2-11ea-93cb-0050569183fa,done,0,
2020-07-23,2098,Regular Board Meeting,c0939f69-d6d3-11ea-b5c3-0050569183fa,done,2,
2020-07-30,2100,Regular Board Meeting,da364e71-d8d6-11ea-b5c3-0050569183fa,done,0,
2020-08-06,2104,Regular Board Meeting,52b62968-e358-11ea-9419-0050569183fa,done,1,
2020-08-20,2108,Regular Board Meeting,6b50b2d8-f840-11ea-b6a9-0050569183fa,done,0,
2020-08-27,2110,Regular Board Meeting,595b227c-f846-11ea-b6a9-0050569183fa,done,0,
2020-09-03,2114,Regular Board Meeting,4d84b141-fe1f-11ea-b6a9-0050569183fa,done,2,
2020-09-10,2118,Regular Board Meeting,bc2deb73-034b-11eb-80dd-0050569183fa,done,1,
2020-09-17,2122,Regular Board Meeting,7ecfa221-041f-11eb-80dd-0050569183fa,done,0,
2020-09-24,2128,Regular Board Meeting,55362f12-0989-11eb-80dd-0050569183fa,done,4,
2020-10-01,2132,Regular Board Meeting,9f996f5b-0c48-11eb-80dd-0050569183fa,done,0,
2020-10-08,2136,Regular Board Meeting,4a71dc1b-1417-11eb-80dd-0050569183fa,done,0,
2020-10-15,2140,Regular Board Meeting,ecd61847-1968-11eb-a4b6-0050569183fa,done,1,
2020-10-22,2143,Regular Board Meeting,658bc93c-1faf-11eb-a4b6-0050569183fa,done,0,
2020-10-29,2149,Regular Board Meeting,08171b06-aa9b-11ee-bb82-0050569183fa,done,2,
2020-11-05,2153,Regular Board Meeting,e3f7407f-2a9e-11eb-a4b6-0050569183fa,done,0,
2020-11-12,2157,Regular Board Meeting,4935d1a3-333d-11eb-bc32-0050569183fa,done,0,
2020-11-19,2159,Regular Board Meeting,c90fcd0b-3abc-11eb-bc32-0050569183fa,done,0,
2020-12-03,2165,Regular Board Meeting,4154699e-43d5-11eb-920e-0050569183fa,done,1,
2020-12-10,2169,Regular Board Meeting,9e43e17a-455f-11eb-920e-0050569183fa,done,4,
2020-12-17,2173,Regular Board Meeting,9566d191-5a0b-11eb-920e-0050569183fa,done,5,
2021-01-07,2179,Regular Board Meeting,9b217e69-5c2d-11eb-920e-0050569183fa,done,2,
2021-01-14,2184,Regular Board Meeting,360e60de-612f-11eb-920e-0050569183fa,done,2,
2021-01-21,2188,Regular Board Meeting,bbbdb4ef-7bdb-11eb-96cb-0050569183fa,done,0,
2021-01-28,2190,Regular Board Meeting,87fd1026-7be0-11eb-96cb-0050569183fa,done,1,
2021-02-04,2197,Regular Board Meeting,2b38e121-811e-11eb-96cb-0050569183fa,done,0,
2021-02-11,2201,Regular Board Meeting,b93de891-9190-11eb-8549-0050569183fa,done,0,
2021-02-18,2203,Regular Board Meeting,9a27c791-d44e-11eb-bd7e-0050569183fa,done,1,
2021-02-25,2209,Regular Board Meeting,8f96560d-df78-11eb-9c7a-0050569183fa,done,1,
2021-03-11,2219,Regular Board Meeting,58fc75d9-e41b-11eb-b92a-0050569183fa,done,0,
2021-03-18,2223,Regular Board Meeting,31d5f41c-f480-11eb-81b1-0050569183fa,done,1,
2021-03-23,2348,HD 47 Appointment,f517f7df-f95b-11eb-81b1-0050569183fa,done,1,
2021-04-01,2230,Regular Board Meeting,6f3ec41a-aaa0-11ee-bb82-0050569183fa,done,1,
2021-04-08,2234,Regular Board Meeting,aa0d4340-043a-11ec-9f1e-0050569183fa,done,1,
2021-04-15,2238,Regular Board Meeting,7aed7363-09b8-11ec-9f1e-0050569183fa,done,3,
2021-04-22,2243,Regular Board Meeting,f65cf468-104e-11ec-9f1e-0050569183fa,done,2,
2021-04-29,2249,Regular Board Meeting,b5950289-1be2-11ec-9f1e-0050569183fa,done,1,
2021-05-05,2258,Virtual Public Budget Hearing #1,b495e062-aaa2-11ee-bb82-0050569183fa,done,0,
2021-05-06,2255,Regular Board Meeting,e3b4b281-aaa5-11ee-bb82-0050569183fa,done,0,
2021-05-12,2265,Virtual Public Budget Hearing #2,b85444c7-aaa6-11ee-bb82-0050569183fa,done,0,
2021-05-13,2273,Regular Board Meeting,915a10b7-2c52-11ec-88a7-0050569183fa,done,1,
2021-05-20,2297,Regular Board Meeting,70e35b6f-2d2e-11ec-88a7-0050569183fa,done,1,
2021-05-27,2313,Regular Board Meeting,cc98aab5-176f-11ec-9f1e-0050569183fa,done,2,
2021-06-03,2317,Regular Board Meeting,bb79b24f-f661-11eb-81b1-0050569183fa,done,5,
2021-06-10,2324,Regular Board Meeting,b44b3cc8-f5ab-11eb-81b1-0050569183fa,done,2,
2021-06-17,2329,Regular Board Meeting,75930bd2-f47f-11eb-81b1-0050569183fa,done,0,
2021-06-24,2334,Regular Board Meeting,83ef9102-f408-11eb-81b1-0050569183fa,done,3,
2021-07-08,2338,Regular Board Meeting,1f077909-f100-11eb-81b1-0050569183fa,done,1,
2021-07-15,2340,Regular Board Meeting,7afa2a60-f0dc-11eb-81b1-0050569183fa,done,1,
2021-07-22,2342,Regular Board Meeting,39c6d9f9-f020-11eb-81b1-0050569183fa,done,4,
2021-08-12,2351,Regular Board Meeting,f5954a71-0dfa-11ec-9f1e-0050569183fa,done,1,
2021-08-26,2356,Regular Board Meeting,06905f46-0de8-11ec-9f1e-0050569183fa,done,3,
2021-09-02,2360,Regular Board Meeting,f227ccc9-0d41-11ec-9f1e-0050569183fa,done,0,
2021-09-09,2364,Regular Board Meeting,be50b750-12bb-11ec-9f1e-0050569183fa,done,0,
2021-09-16,2366,Regular Board Meeting,dce4e6df-209d-11ec-9f1e-0050569183fa,done,0,
2021-09-23,2370,Regular Board Meeting,ecd729c2-20d0-11ec-9f1e-0050569183fa,done,0,
2021-09-30,2374,Regular Board Meeting,18842798-3d9a-11ec-a798-0050569183fa,done,3,
2021-10-07,2379,Regular Board Meeting,f81db62f-3db0-11ec-a798-0050569183fa,done,0,
2021-10-14,2383,Regular Board Meeting,b8e22ee4-41b7-11ec-a798-0050569183fa,done,1,
2021-10-21,2385,Regular Board Meeting,5115a912-4646-11ec-a798-0050569183fa,done,2,
2021-10-28,2390,Regular Board Meeting,3bf4e3ad-bc7f-11ed-acbc-0050569183fa,done,1,
2021-11-04,2394,Regular Board Meeting,3e412228-bc68-11ed-acbc-0050569183fa,done,0,
2021-11-09,2397,Special Meeting,50587006-b89c-11ed-acbc-0050569183fa,done,3,
2021-11-18,2403,Regular Board Meeting,4403200a-4cb8-11ec-a798-0050569183fa,done,0,
2021-11-29,2411,SD 18 Appointment,aa6c4553-5797-11ec-85e3-0050569183fa,done,1,
2021-12-02,2413,Regular Board Meeting,c483cf3a-b6fd-11ed-acbc-0050569183fa,done,0,
2021-12-16,2419,Regular Board Meeting,5393e6d4-d7cb-11ec-bbb4-0050569183fa,done,3,
2022-01-06,2422,Regular Board Meeting,cb66346d-7a41-11ec-b1e1-0050569183fa,done,1,
2022-01-13,2426,Regular Board Meeting,a79d14d9-7e2d-11ec-b1e1-0050569183fa,done,1,
2022-01-20,2431,Regular Board Meeting,acc954ce-b6c1-11ec-a5da-0050569183fa,done,1,
2022-01-27,2435,Regular Board Meeting,3d09103b-9b46-11ec-972b-0050569183fa,done,2,
2022-02-10,2442,Regular Board Meeting,de278eeb-904f-11ec-972b-0050569183fa,done,1,
2022-02-17,2444,Regular Board Meeting,0f094910-903f-11ec-972b-0050569183fa,done,1,
2022-02-24,2446,Regular Board Meeting,785db433-aa89-11ee-bb82-0050569183fa,done,0,
2022-03-03,2451,Regular Board Meeting,5aab4864-9b43-11ec-972b-0050569183fa,done,0,
2022-03-10,2456,Regular Board Meeting,16ad3831-a0c0-11ec-8a90-0050569183fa,done,0,
2022-03-17,2460,Regular Board Meeting,e831fb22-b51c-11ec-a5da-0050569183fa,done,1,
2022-03-31,2464,Regular Board Meeting,47acd130-b6ba-11ec-a5da-0050569183fa,done,0,
2022-04-07,2468,Regular Board Meeting,74343967-c1bd-11ec-a5da-0050569183fa,done,0,
2022-04-14,2473,Regular Board Meeting,cdaef28e-c5a2-11ec-a5da-0050569183fa,done,0,
2022-04-21,2476,Regular Board Meeting,46c5e4ca-d171-11ec-bbb4-0050569183fa,done,3,
2022-04-28,2481,Regular Board Meeting,895496e5-d174-11ec-bbb4-0050569183fa,done,0,
2022-05-05,2485,Regular Board Meeting,79d72681-19b2-11ed-b1ab-0050569183fa,done,2,
2022-05-12,2495,Regular Board Meeting,642eddd0-e6a8-11ec-9ad4-0050569183fa,done,1,
2022-05-18,2499,Virtual Public Budget Hearing #1,949ad45a-d7a9-11ec-bbb4-0050569183fa,done,0,
2022-05-19,2503,Regular Board Meeting,93d1ad78-e773-11ec-9ad4-0050569183fa,done,2,
2022-05-25,2512,Virtual Public Budget Hearing #2,3c7bcfce-353f-11ed-8da8-0050569183fa,done,0,
2022-06-01,2522,Virtual Public Budget Hearing #3,e782a2e4-45a0-11ed-95a3-0050569183fa,done,0,
2022-06-02,2528,Regular Board Meeting,80156493-0a0c-11ed-baa3-0050569183fa,done,0,
2022-06-09,2538,Regular Board Meeting,a0225113-ad80-11ed-8145-0050569183fa,done,1,
2022-06-16,2543,Regular Board Meeting,a44a22d2-ee61-11ec-9ad4-0050569183fa,done,5,
2022-06-23,2549,Regular Board Meeting,3c674b53-acc8-11ed-8145-0050569183fa,done,0,
2022-06-30,2552,Regular Board Meeting,f3726e57-093c-11ed-baa3-0050569183fa,done,1,
2022-07-14,2554,Regular Board Meeting,9f97de10-0951-11ed-baa3-0050569183fa,done,0,
2022-07-21,2556,Regular Board Meeting,bdda0046-19c1-11ed-b1ab-0050569183fa,done,0,
2022-07-28,2558,Regular Board Meeting,37dfc970-19c5-11ed-b1ab-0050569183fa,done,0,
2022-08-04,2562,Regular Board Meeting,27948416-347c-11ed-8da8-0050569183fa,done,1,
2022-08-11,2563,Regular Board Meeting,229cf634-353c-11ed-8da8-0050569183fa,done,1,
2022-08-18,2566,Regular Board Meeting,cf50da8d-2960-11ed-8da8-0050569183fa,done,0,
2022-09-08,2575,Regular Board Meeting,b2e6e323-3a95-11ed-8da8-0050569183fa,done,2,
2022-09-15,2577,Regular Board Meeting,08a5f17f-3aa0-11ed-8da8-0050569183fa,done,0,
2022-09-22,2582,Regular Board Meeting,477b5820-4425-11ed-95a3-0050569183fa,done,1,
2022-09-29,2583,Regular Board Meeting,16713ca6-4430-11ed-95a3-0050569183fa,done,0,
2022-10-06,2587,Regular Board Meeting,7177e83f-5bab-11ed-95a3-0050569183fa,done,3,
2022-10-13,2590,Regular Board Meeting,1f4879a2-5bb8-11ed-95a3-0050569183fa,done,1,
2022-10-20,2593,Regular Board Meeting,aad576dc-6148-11ed-95a3-0050569183fa,done,0,
